"","q","n_total","sub_size","subsample_id","repetition","method","SHD","Precision","Recall","F1_Score"
"156",200,300,100,3,6,"Bayesian",99,0.9828,0.5403,0.6972
"157",200,300,100,1,7,"Frequentist",86,0.8411,0.672,0.7471
"158",200,300,100,1,7,"Bayesian",74,0.9528,0.6402,0.7658
"159",200,300,100,2,7,"Frequentist",77,0.8944,0.672,0.7674
"160",200,300,100,2,7,"Bayesian",85,0.9333,0.5926,0.7249
"161",200,300,100,3,7,"Frequentist",92,0.8299,0.6455,0.7262
"162",200,300,100,3,7,"Bayesian",88,0.9244,0.582,0.7143
"163",200,300,100,1,8,"Frequentist",83,0.8133,0.6893,0.7462
"164",200,300,100,1,8,"Bayesian",89,0.9,0.5593,0.6899
"165",200,300,100,2,8,"Frequentist",86,0.8273,0.6497,0.7278
"166",200,300,100,2,8,"Bayesian",79,0.9298,0.5989,0.7285
"167",200,300,100,3,8,"Frequentist",105,0.7571,0.5989,0.6688
"168",200,300,100,3,8,"Bayesian",89,0.9151,0.548,0.6855
"169",200,300,100,1,9,"Frequentist",91,0.8511,0.6316,0.7251
"170",200,300,100,1,9,"Bayesian",84,0.9569,0.5842,0.7255
"171",200,300,100,2,9,"Frequentist",85,0.8777,0.6421,0.7416
"172",200,300,100,2,9,"Bayesian",84,0.9569,0.5842,0.7255
"173",200,300,100,3,9,"Frequentist",84,0.8786,0.6474,0.7455
"174",200,300,100,3,9,"Bayesian",83,0.9652,0.5842,0.7279
"175",200,300,100,1,10,"Frequentist",108,0.816,0.5455,0.6538
"176",200,300,100,1,10,"Bayesian",105,0.8942,0.4973,0.6392
"177",200,300,100,2,10,"Frequentist",114,0.7483,0.5882,0.6587
"178",200,300,100,2,10,"Bayesian",102,0.8829,0.5241,0.6577
"179",200,300,100,3,10,"Frequentist",105,0.7887,0.5989,0.6809
"180",200,300,100,3,10,"Bayesian",97,0.8947,0.5455,0.6777
"181",200,300,100,1,11,"Frequentist",106,0.8792,0.5982,0.712
"182",200,300,100,1,11,"Bayesian",114,0.9339,0.516,0.6647
"183",200,300,100,2,11,"Frequentist",115,0.8514,0.5753,0.6866
"184",200,300,100,2,11,"Bayesian",123,0.875,0.5114,0.6455
"185",200,300,100,3,11,"Frequentist",109,0.8767,0.5845,0.7014
"186",200,300,100,3,11,"Bayesian",110,0.9225,0.5434,0.6839
"187",200,300,100,1,12,"Frequentist",108,0.9259,0.6098,0.7353
"188",200,300,100,1,12,"Bayesian",115,0.9712,0.5488,0.7013
"189",200,300,100,2,12,"Frequentist",111,0.9245,0.5976,0.7259
"190",200,300,100,2,12,"Bayesian",120,0.9632,0.5325,0.6859
"191",200,300,100,3,12,"Frequentist",116,0.9012,0.5935,0.7157
"192",200,300,100,3,12,"Bayesian",125,0.9291,0.5325,0.677
"193",200,300,100,1,13,"Frequentist",112,0.7832,0.5803,0.6667
"194",200,300,100,1,13,"Bayesian",101,0.9035,0.5337,0.671
"195",200,300,100,2,13,"Frequentist",100,0.8252,0.6114,0.7024
"196",200,300,100,2,13,"Bayesian",93,0.9167,0.5699,0.7029
"197",200,300,100,3,13,"Frequentist",86,0.8639,0.658,0.7471
"198",200,300,100,3,13,"Bayesian",85,0.9576,0.5855,0.7267
"199",200,300,100,1,14,"Frequentist",104,0.8693,0.6129,0.7189
"200",200,300,100,1,14,"Bayesian",103,0.9524,0.553,0.6997
"201",200,300,100,2,14,"Frequentist",94,0.902,0.6359,0.7459
"202",200,300,100,2,14,"Bayesian",101,0.9603,0.5576,0.7055
"203",200,300,100,3,14,"Frequentist",99,0.9041,0.6083,0.7273
"204",200,300,100,3,14,"Bayesian",95,0.9766,0.576,0.7246
"205",200,300,100,1,15,"Frequentist",90,0.7929,0.6453,0.7115
"206",200,300,100,1,15,"Bayesian",85,0.8919,0.5756,0.6996
"207",200,300,100,2,15,"Frequentist",83,0.8112,0.6744,0.7365
"208",200,300,100,2,15,"Bayesian",75,0.945,0.5988,0.7331
"209",200,300,100,3,15,"Frequentist",94,0.7826,0.6279,0.6968
"210",200,300,100,3,15,"Bayesian",89,0.9029,0.5407,0.6764
"211",200,300,100,1,16,"Frequentist",103,0.8138,0.6082,0.6962
"212",200,300,100,1,16,"Bayesian",102,0.9182,0.5206,0.6645
"213",200,300,100,2,16,"Frequentist",94,0.8521,0.6237,0.7202
"214",200,300,100,2,16,"Bayesian",93,0.9316,0.5619,0.701
"215",200,300,100,3,16,"Frequentist",100,0.8561,0.5825,0.6933
"216",200,300,100,3,16,"Bayesian",97,0.9292,0.5412,0.684
"217",200,300,100,1,17,"Frequentist",109,0.8491,0.6136,0.7124
"218",200,300,100,1,17,"Bayesian",102,0.9683,0.5545,0.7052
"219",200,300,100,2,17,"Frequentist",111,0.8516,0.6,0.704
"220",200,300,100,2,17,"Bayesian",108,0.9516,0.5364,0.686
"221",200,300,100,3,17,"Frequentist",104,0.8625,0.6273,0.7263
"222",200,300,100,3,17,"Bayesian",107,0.9313,0.5545,0.6952
"223",200,300,100,1,18,"Frequentist",98,0.8477,0.6305,0.7232
"224",200,300,100,1,18,"Bayesian",95,0.9426,0.5665,0.7077
"225",200,300,100,2,18,"Frequentist",96,0.8741,0.6158,0.7225
"226",200,300,100,2,18,"Bayesian",101,0.9113,0.5567,0.6911
"227",200,300,100,3,18,"Frequentist",102,0.8435,0.6108,0.7086
"228",200,300,100,3,18,"Bayesian",96,0.928,0.5714,0.7073
"229",200,300,100,1,19,"Frequentist",91,0.9067,0.6385,0.7493
"230",200,300,100,1,19,"Bayesian",91,0.9766,0.5869,0.7331
"231",200,300,100,2,19,"Frequentist",102,0.8627,0.6197,0.7213
"232",200,300,100,2,19,"Bayesian",104,0.9431,0.5446,0.6905
"233",200,300,100,3,19,"Frequentist",94,0.8839,0.6432,0.7446
"234",200,300,100,3,19,"Bayesian",96,0.9606,0.5728,0.7176
"235",200,300,100,1,20,"Frequentist",96,0.8544,0.649,0.7377
"236",200,300,100,1,20,"Bayesian",98,0.9435,0.5625,0.7048
"237",200,300,100,2,20,"Frequentist",88,0.9,0.649,0.7542
